county_fips,year,total_cases,total_dafw,total_djtr
08059,2017,1.0,0.0,0.0
08059,2023,1.0,0.0,0.0
08067,2016,2.0,0.0,0.0
08069,2016,1.0,0.0,0.0
08069,2017,4.0,0.0,0.0
08069,2018,5.0,0.0,0.0
08069,2020,4.0,0.0,0.0
08069,2021,4.0,0.0,0.0
08069,2022,4.0,0.0,0.0
08069,2023,4.0,0.0,0.0
08071,2016,2.0,0.0,0.0
08071,2017,4.0,0.0,0.0
08071,2018,3.0,0.0,0.0
08071,2019,1.0,0.0,0.0
08071,2020,1.0,0.0,0.0
08075,2016,2.0,0.0,0.0
08075,2021,2.0,0.0,0.0
08077,2016,4.0,0.0,0.0
08077,2017,1.0,0.0,0.0
08077,2018,2.0,0.0,0.0
08077,2020,3.0,0.0,0.0
08077,2021,3.0,0.0,0.0
08077,2022,1.0,0.0,0.0
08077,2023,2.0,0.0,0.0
08081,2023,1.0,0.0,0.0
08087,2017,1.0,0.0,0.0
08087,2018,1.0,0.0,0.0
08087,2022,1.0,0.0,0.0
08103,2018,2.0,0.0,0.0
08103,2019,2.0,0.0,0.0
08103,2020,4.0,0.0,0.0
08103,2021,3.0,0.0,0.0
08103,2022,4.0,0.0,0.0
08103,2023,1.0,0.0,0.0
08123,2016,18.0,0.0,0.0
08123,2017,15.0,0.0,0.0
08123,2018,24.0,0.0,0.0
08123,2019,2.0,0.0,0.0
08123,2020,11.0,0.0,0.0
08123,2021,21.0,0.0,0.0
08123,2022,17.0,0.0,0.0
08123,2023,27.0,60.0,217.0
09009,2016,2.0,0.0,0.0
09009,2017,2.0,0.0,0.0
09009,2018,2.0,0.0,0.0
09009,2020,2.0,0.0,0.0
09009,2023,1.0,0.0,0.0
10001,2017,1.0,0.0,0.0
10001,2018,1.0,0.0,0.0
10001,2020,1.0,0.0,0.0
10003,2023,1.0,0.0,0.0
12113,2016,1.0,0.0,0.0
12113,2017,1.0,0.0,0.0
13121,2018,2.0,0.0,0.0
13121,2020,2.0,0.0,0.0
13121,2022,1.0,0.0,0.0
13121,2023,7.0,0.0,0.0
13135,2018,2.0,0.0,0.0
13135,2020,2.0,0.0,0.0
13135,2022,1.0,0.0,0.0
13135,2023,6.0,0.0,0.0
15003,2018,2.0,0.0,0.0
16011,2023,1.0,0.0,0.0
17019,2020,2.0,0.0,0.0
17019,2021,2.0,0.0,0.0
17019,2022,2.0,0.0,0.0
17031,2016,1.0,0.0,0.0
17031,2017,1.0,0.0,0.0
17031,2020,1.0,0.0,0.0
17033,2016,1.0,0.0,0.0
17089,2020,1.0,0.0,0.0
17093,2020,1.0,0.0,0.0
17101,2018,1.0,0.0,0.0
17101,2021,2.0,0.0,0.0
17119,2020,3.0,0.0,0.0
17119,2021,4.0,0.0,0.0
17119,2022,4.0,0.0,0.0
17119,2023,3.0,0.0,0.0
17163,2020,3.0,0.0,0.0
17163,2021,4.0,0.0,0.0
17163,2022,4.0,0.0,0.0
17163,2023,3.0,0.0,0.0
17191,2020,2.0,0.0,0.0
17191,2021,2.0,0.0,0.0
17191,2022,2.0,0.0,0.0
18083,2020,4.0,0.0,0.0
18083,2021,4.0,0.0,0.0
18083,2022,4.0,0.0,0.0
18083,2023,2.0,0.0,0.0
18097,2016,2.0,0.0,0.0
18153,2020,2.0,0.0,0.0
18179,2023,1.0,0.0,0.0
19157,2018,1.0,0.0,0.0
20015,2016,2.0,0.0,0.0
20015,2017,2.0,0.0,0.0
20051,2016,2.0,0.0,0.0
20051,2023,2.0,0.0,0.0
20055,2020,2.0,0.0,0.0
20055,2022,1.0,0.0,0.0
20055,2023,1.0,0.0,0.0
20069,2020,2.0,0.0,0.0
20069,2022,1.0,0.0,0.0
20069,2023,1.0,0.0,0.0
20101,2020,2.0,0.0,0.0
20101,2022,1.0,0.0,0.0
20101,2023,1.0,0.0,0.0
20113,2023,1.0,0.0,0.0
20151,2017,1.0,0.0,0.0
20155,2022,2.0,0.0,0.0
20155,2023,1.0,0.0,0.0
20159,2022,2.0,0.0,0.0
20173,2022,2.0,0.0,0.0
20175,2019,1.0,0.0,0.0
20175,2020,3.0,0.0,0.0
20175,2021,1.0,0.0,0.0
20175,2022,1.0,0.0,0.0
21049,2017,2.0,0.0,0.0
21049,2018,1.0,0.0,0.0
21049,2020,2.0,0.0,0.0
21049,2021,2.0,0.0,0.0
21065,2021,2.0,0.0,0.0
21065,2023,1.0,0.0,0.0
21067,2017,2.0,0.0,0.0
21067,2018,1.0,0.0,0.0
21067,2020,2.0,0.0,0.0
21067,2021,2.0,0.0,0.0
21071,2018,1.0,0.0,0.0
21095,2017,2.0,0.0,0.0
21095,2018,1.0,0.0,0.0
21159,2018,1.0,0.0,0.0
21193,2018,2.0,0.0,0.0
21195,2018,1.0,0.0,0.0
21197,2021,2.0,0.0,0.0
21197,2023,1.0,0.0,0.0
22001,2016,2.0,0.0,0.0
22001,2017,13.0,0.0,0.0
22001,2018,16.0,0.0,0.0
22001,2019,3.0,0.0,0.0
22001,2020,5.0,0.0,0.0
22001,2021,3.0,0.0,0.0
22005,2019,2.0,0.0,0.0
22005,2020,2.0,0.0,0.0
22005,2021,2.0,0.0,0.0
22005,2022,2.0,0.0,0.0
22005,2023,1.0,0.0,0.0
22007,2016,3.0,0.0,0.0
22007,2017,2.0,0.0,0.0
22007,2018,1.0,0.0,0.0
22007,2020,2.0,0.0,0.0
22007,2021,3.0,0.0,0.0
22013,2016,2.0,0.0,0.0
22013,2017,2.0,0.0,0.0
22013,2020,1.0,0.0,0.0
22013,2021,2.0,0.0,0.0
22015,2016,11.0,0.0,0.0
22015,2017,7.0,0.0,0.0
22015,2018,8.0,0.0,0.0
22015,2020,11.0,0.0,0.0
22015,2021,5.0,0.0,0.0
22015,2022,4.0,0.0,0.0
22015,2023,3.0,0.0,0.0
22017,2016,4.0,0.0,0.0
22017,2017,3.0,0.0,0.0
22017,2018,7.0,0.0,0.0
22017,2020,5.0,0.0,0.0
22017,2021,6.0,0.0,0.0
22017,2022,9.0,0.0,0.0
22017,2023,3.0,0.0,0.0
22019,2020,2.0,0.0,0.0
22019,2021,3.0,0.0,0.0
22019,2022,2.0,0.0,0.0
22019,2023,1.0,0.0,0.0
22023,2017,3.0,0.0,0.0
22023,2018,4.0,0.0,0.0
22023,2019,2.0,0.0,0.0
22023,2021,1.0,0.0,0.0
22027,2017,1.0,0.0,0.0
22027,2018,2.0,0.0,0.0
22027,2020,2.0,0.0,0.0
22027,2023,1.0,0.0,0.0
22031,2016,2.0,0.0,0.0
22031,2017,2.0,0.0,0.0
22031,2018,2.0,0.0,0.0
22031,2020,2.0,0.0,0.0
22031,2021,4.0,0.0,0.0
22031,2022,2.0,0.0,0.0
22031,2023,1.0,0.0,0.0
22033,2016,3.0,0.0,0.0
22033,2017,4.0,0.0,0.0
22033,2020,3.0,0.0,0.0
22033,2021,2.0,0.0,0.0
22039,2016,1.0,0.0,0.0
22039,2017,3.0,0.0,0.0
22039,2018,3.0,0.0,0.0
22039,2019,2.0,0.0,0.0
22039,2020,2.0,0.0,0.0
22039,2021,1.0,0.0,0.0
